학교명,학급수,학생수,학급당평균학생수,교원수,자치구,사설학원수,전입학생수(계),전출학생수(계),대분류,주거환경,경제환경,사회환경,교육환경
원묵고등학교,27.0,722.0,26.74074074074074,62.0,중랑구,262,18.0,8.0,중랑구,6.52,5.53,5.91,5.52
중화고등학교,27.0,591.0,21.88888888888889,58.0,중랑구,262,14.0,12.0,중랑구,6.52,5.53,5.91,5.52
태릉고등학교,30.0,747.0,24.9,68.0,중랑구,262,17.0,4.0,중랑구,6.52,5.53,5.91,5.52
송곡고등학교,30.0,706.0,23.533333333333335,62.0,중랑구,262,16.0,14.0,중랑구,6.52,5.53,5.91,5.52
송곡관광고등학교,21.0,512.0,24.38095238095238,48.0,중랑구,262,13.0,4.0,중랑구,6.52,5.53,5.91,5.52
송곡여자고등학교,33.0,744.0,22.545454545454547,66.0,중랑구,262,24.0,13.0,중랑구,6.52,5.53,5.91,5.52
이화여자대학교병설미디어고등학교,24.0,596.0,24.833333333333332,55.0,중랑구,262,1.0,14.0,중랑구,6.52,5.53,5.91,5.52
혜원여자고등학교,30.0,695.0,23.166666666666668,65.0,중랑구,262,8.0,22.0,중랑구,6.52,5.53,5.91,5.52
미양고등학교,24.0,569.0,23.708333333333332,57.0,강북구,206,20.0,18.0,강북구,6.22,5.25,5.88,5.52
삼각산고등학교,28.0,647.0,23.107142857142858,68.0,강북구,206,34.0,15.0,강북구,6.22,5.25,5.88,5.52
혜화여자고등학교,30.0,677.0,22.566666666666666,69.0,강북구,206,22.0,11.0,강북구,6.22,5.25,5.88,5.52
성암국제무역고등학교,24.0,561.0,23.375,55.0,강북구,206,2.0,11.0,강북구,6.22,5.25,5.88,5.52
신일고등학교,33.0,1033.0,31.303030303030305,60.0,강북구,206,24.0,40.0,강북구,6.22,5.25,5.88,5.52
영훈고등학교,36.0,1071.0,29.75,78.0,강북구,206,29.0,10.0,강북구,6.22,5.25,5.88,5.52
창문여자고등학교,39.0,984.0,25.23076923076923,79.0,강북구,206,20.0,21.0,강북구,6.22,5.25,5.88,5.52
반포고등학교,30.0,865.0,28.833333333333332,77.0,서초구,"1,148",27.0,43.0,서초구,6.59,5.24,6.06,5.88
서울고등학교,45.0,1359.0,30.2,100.0,서초구,"1,148",32.0,26.0,서초구,6.59,5.24,6.06,5.88
서울전자고등학교,19.0,357.0,18.789473684210527,59.0,서초구,"1,148",7.0,13.0,서초구,6.59,5.24,6.06,5.88
서초고등학교,33.0,892.0,27.03030303030303,84.0,서초구,"1,148",36.0,21.0,서초구,6.59,5.24,6.06,5.88
양재고등학교,33.0,869.0,26.333333333333332,81.0,서초구,"1,148",27.0,18.0,서초구,6.59,5.24,6.06,5.88
언남고등학교,33.0,609.0,18.454545454545453,74.0,서초구,"1,148",17.0,32.0,서초구,6.59,5.24,6.06,5.88
동덕여자고등학교,39.0,996.0,25.53846153846154,87.0,서초구,"1,148",21.0,14.0,서초구,6.59,5.24,6.06,5.88
상문고등학교,42.0,1212.0,28.857142857142858,89.0,서초구,"1,148",31.0,35.0,서초구,6.59,5.24,6.06,5.88
서문여자고등학교,39.0,966.0,24.76923076923077,89.0,서초구,"1,148",15.0,32.0,서초구,6.59,5.24,6.06,5.88
세화고등학교,36.0,1124.0,31.22222222222222,78.0,서초구,"1,148",32.0,22.0,서초구,6.59,5.24,6.06,5.88
세화여자고등학교,36.0,1114.0,30.944444444444443,74.0,서초구,"1,148",36.0,29.0,서초구,6.59,5.24,6.06,5.88
상암고등학교,33.0,952.0,28.848484848484848,72.0,마포구,689,42.0,17.0,마포구,6.44,5.47,6.0,5.58
서울여자고등학교,33.0,841.0,25.484848484848484,71.0,마포구,689,24.0,22.0,마포구,6.44,5.47,6.0,5.58
